Commodity_Group,Price_Detail,Price_Type,MARKET,Unit_of_Measurement,PRICEID,Unit,Date,Value
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W40","796"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W41","787"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W42","766"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W43","753"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W44","766"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W45","777"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W46","800"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W47","816"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W48","828"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W49","828"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W50","825"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W51","819"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2012W52","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W1","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W2","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W3","807"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W4","777"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W5","778"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W6","796"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W7","796"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W8","794"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W9","789"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W10","782"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W11","785"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W12","801"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W13","797"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W14","791"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W15","782"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W16","782"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W17","773"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W18","768"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W19","762"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W20","753"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W21","756"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W22","740"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W23","766"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2013W24","777"
